ID,code,name,imageUrl,summary,description,category_ID,currency_code,price,status,createdAt,createdBy,modifiedAt,modifiedBy

55000001-0000-0000-0000-000000000001,IP14,Apple iPhone 14,https://images.unsplash.com/photo-1592286927505-1def25115558?w=800&q=80,Latest Apple smartphone,Apple iPhone 14 with A15 Bionic chip and advanced camera,44444444-aaaa-4ddd-c101-000000000004,INR,69999,APPROVED,2025-02-10T10:00:00Z,system,2025-02-10T10:00:00Z,system
55000001-0000-0000-0000-000000000002,S23,Samsung Galaxy S23,https://images.unsplash.com/photo-1598327105666-5b89351aff97?w=800&q=80,Premium Android phone,Samsung Galaxy S23 with AMOLED display and Snapdragon processor,44444444-aaaa-4ddd-c101-000000000004,INR,74999,APPROVED,2025-02-10T10:00:00Z,system,2025-02-10T10:00:00Z,system
55000001-0000-0000-0000-000000000003,MBP14,MacBook Pro 14,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=800&q=80,Powerful laptop from Apple,MacBook Pro with M2 chip for professionals,55555555-bbbb-4eee-c102-000000000005,INR,199999,APPROVED,2025-02-10T10:05:00Z,system,2025-02-10T10:05:00Z,system
55000001-0000-0000-0000-000000000004,DELLXPS,Dell XPS 13,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=800&q=80,Slim Windows laptop,Dell XPS 13 with Intel i7 and 16GB RAM,55555555-bbbb-4eee-c102-000000000005,INR,149999,APPROVED,2025-02-10T10:05:00Z,system,2025-02-10T10:05:00Z,system
55000001-0000-0000-0000-000000000005,MCOT01,Men Cotton T-Shirt,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800&q=80,Comfortable cotton t-shirt,Premium cotton casual t-shirt for men,66666666-cccc-4fff-c201-000000000006,INR,799,APPROVED,2025-02-10T10:10:00Z,system,2025-02-10T10:10:00Z,system
55000001-0000-0000-0000-000000000006,MJNS01,Men Slim Fit Jeans,https://images.unsplash.com/photo-1754555009601-498e9873197e?w=800&q=80,Stylish blue jeans,Slim fit denim jeans for men,66666666-cccc-4fff-c201-000000000006,INR,1999,APPROVED,2025-02-10T10:10:00Z,system,2025-02-10T10:10:00Z,system
55000001-0000-0000-0000-000000000007,WDRE01,Women Floral Dress,https://images.unsplash.com/photo-1613891737415-be7670d21c19?w=800&q=80,Stylish floral dress,Beautiful floral print dress for women,77777777-dddd-4000-c202-000000000007,INR,2499,APPROVED,2025-02-10T10:15:00Z,system,2025-02-10T10:15:00Z,system
55000001-0000-0000-0000-000000000008,WTOP01,Women Casual Top,https://images.unsplash.com/photo-1434389677669-e08b4cac3105?w=800&q=80,Trendy casual top,Comfortable daily wear top for women,77777777-dddd-4000-c202-000000000007,INR,1299,APPROVED,2025-02-10T10:15:00Z,system,2025-02-10T10:15:00Z,system
55000001-0000-0000-0000-000000000009,MIXER01,Philips Mixer Grinder,https://plus.unsplash.com/premium_photo-1719452894796-a7597f063366?w=800&q=80,Kitchen mixer grinder,Powerful mixer grinder for daily cooking,88888888-eeee-4111-c301-000000000008,INR,5499,APPROVED,2025-02-10T10:20:00Z,system,2025-02-10T10:20:00Z,system
55000001-0000-0000-0000-000000000010,AIRFRY01,Prestige Air Fryer,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=800&q=80,Healthy cooking appliance,Air fryer for oil-free frying,88888888-eeee-4111-c301-000000000008,INR,7999,APPROVED,2025-02-10T10:20:00Z,system,2025-02-10T10:20:00Z,system
55000001-0000-0000-0000-000000000011,WALL01,Wall Art Painting,https://plus.unsplash.com/premium_photo-1691497456450-a1208466e47a?w=800&q=80,Decorative wall painting,Beautiful wall art for living room,99999999-ffff-4222-c302-000000000009,INR,2999,APPROVED,2025-02-10T10:25:00Z,system,2025-02-10T10:25:00Z,system
55000001-0000-0000-0000-000000000012,LAMP01,Designer Table Lamp,https://plus.unsplash.com/premium_photo-1681412205381-c0e9681bcbb8?w=800&q=80,Stylish table lamp,Modern table lamp for bedroom and office,99999999-ffff-4222-c302-000000000009,INR,3499,APPROVED,2025-02-10T10:25:00Z,system,2025-02-10T10:25:00Z,system
